Date,month,day,year,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,State,Country,Summary
11-07-1952,11,7,1952,03:00,"Near Summit, Alaska",Military - U.S. Air Force,,Elmendorf AFB - Big Delta,Fairchild C-119C,51-2560A,10518,19,19,0,NearSummit,Alaska,"A course deviation led to the aircraft crashing into Mt. McKinley at an elevation of 12,000 ft."
11/15/1952,11,15,1952,,"Near Anchorage, Alaska",Military - U.S. Air Force,,Elemndorf AFB - Kodiak NAS,Fairchild C-119C,51-2570,10528,20,20,0,NearAnchorage,Alaska,Disappeared while en route. No trace of the aircraft was ever found.
11/22/1952,11,22,1952,20:15,"Mount Gannett, Alaska",Military - U.S. Air Force,,,Douglas C-124A Globemaster,51-107A,464096,52,52,0,MountGannett,Alaska,"Bound for Elmendorf Air Force Base, the aircraft struck the south slope of Mount Gannett. The plane drifted off course due to high winds."
02-09-1953,2,9,1953,19:00,"Cairo, Egypt",Military - Egyptian Air Force,,,Curtiss-Wright C-46,1001,,35,30,0,Cairo,Egypt,Crashed into a hill during a sandstorm.
03/14/1953,3,14,1953,,"Kalasahar, India",Orient Airways,,Delhi - Dacca,Convair CV-240-7,AP-AEG,82,16,16,0,Kalasahar,India,Crashed into a mountain while en route in severe weather. The pilot descended in poor visibility in order to find his position.
03/27/1953,3,27,1953,,"Itapebi, Brazil",Transportes Aéreos Salvador,,,de Havilland DH-114 Heron 1B,PP-SLG,14004,14,14,0,Itapebi,Brazil,The pilot aborted the takeoff after loosing the No. 2 engine and was unable to stop on the remaining runway. Error of judgment on the part of the pilot in not continuing the takeoff with three engines still operating
04/14/1953,4,14,1953,,"Near Guwahati, India",Airways,,,Douglas C-47A,VT-AUJ,19149,3,3,0,NearGuwahati,India,The cargo plane crashed in the Khasi hills. The port wing failed in the air due to an upload as a result of being subjected to loads greater than those for which it was designed.
05-02-1953,5,2,1953,16:35,"Near Jalalogori, West Bengal, India",British Overseas Airways,783/057,Calcutta - Delhi,de Havilland DH106 Comet 1,G-ALYV,6008,43,43,0,NearJalalogori,India,The aircraft crashed 6 minutes after taking off from Dum Dum Airport. The accident occurred during a violent thunderstorm. Wreckage indicated that the aircraft broke up in the air. Failure of both elevator spars caused by a heavy down-load that may have been associated with a pull-up maneuver. Severe gusts encountered in the thundersquall and overcontrolling or loss of control by the pilots when flying through the thunderstorm. The aircraft was nicknamed 'York Victor.'
05-09-1953,5,9,1953,01:28,"New Delhi, India",Air India,,Delh - Ahmedabad - Bombay,Douglas DC-3,VT-AUD,13716,18,18,0,NewDelhi,India,"Stalled following takeoff. An error of judgement by the pilot, who executed a steep starboard turn. He could not come out of the overbanked turn in time because of the low altitude. Inexperience of the pilot with the type of the aircraft which he was flying."
06/16/1953,6,16,1953,,"Phou-Lassy, French Indo-China",Aigle Azur,,Vientiane - Saigon,Douglas DC-3,F-BEST,19100,34,34,0,Phou-Lassy,FrenchIndo-China,Crashed after on-board fire.  Possibly shot down.
06/17/1953,6,17,1953,,"Sao Paulo, Brazil",Panair do Brasil,,,Lockheed 049-46-21 Constellation,PP-PDA,2066,17,17,0,SaoPaulo,Brazil,Crashed while on final approach to Sao Paulo. Error of judgement by the crew during poor visibility at night.
10/14/1953,10,14,1953,,"Frankfurt, Germany",Sabena,,Frankfurt - Brussels,Convair CV-240-12,OO-AWQ,154,44,44,0,Frankfurt,Germany,Loss of engine power on takeoff. The loss of power may possibly be attributed to the heavy deposit of lead on the spark plugs.
12-12-1953,12,12,1953,,"Nagpur, India",Indian Airlines,,,Douglas DC-3,VT-CHF,11810,14,13,0,Nagpur,India,"The aircraft experienced loss of control in too steep a turn. Loss of critical height during a steep left hand turn, with the landing gear down, executed by the pilot at an unsafe altitude in an attempt to return to the aerodrome, after experiencing a temporary loss of power of the left engine soon after becoming airborne. A false right engine fire warning precipitated the attempt at a forced landing."
02-05-1954,2,5,1954,,"Susitna Valley, Alaska",Military - U.S. Air Force,,,Douglas C-47,5895,,16,10,0,SusitnaValley,Alaska,"The plane broke apart over the Susitna Valley of South Central Alaska and the scattered parts fell onto Kesugi Ridge, which is now within Denali State Park. Six servicemen wearing parachutes escaped by being thrown from the disintegrating aircraft."
02/25/1954,2,25,1954,,"New Delhi, India",Indian Airlines,,,Douglas DC-3,VT-ATU,20358,3,3,0,NewDelhi,India,The test flight crashed after attempting to determine the cause of a crash at Nagpur on 12/12/1953.
04/30/1954,4,30,1954,09:18,"Near Calcutta, India",Darbhanga Aviation,,,Douglas C-47A-30-DK,VT-DEM,13792,11,5,0,NearCalcutta,India,"The aircraft tried to return to the airport after the No. 1 engine failed on takeoff but was unable to maintain airspeed, stalled and crashed into a tree. Delay in feathering the No. 1 engine after failure. Improper emergency procedural errors by the pilot."
05/31/1954,5,31,1954,,"Cipo Mountain, Brazil",Transportes Aereos Nacionales,,Governador Valadares - Belo Horizonte,Douglas DC-3,PP-ANO,19830,19,19,0,CipoMountain,Brazil,The aircraft deviated from its normal course by 30 miles and struck a mountain. Navigational error. The minimum safety height for the route was not complied with.
06-04-1954,6,4,1954,,"Sao Paulo, Brazil",Varig,,Sao Paulo - Porto Alegre,Curtiss C-46A,PP-VBZ,30400,3,3,0,SaoPaulo,Brazil,The cargo plane crashed on takeoff. Elevator lock was not removed prior to takeoff.
07-02-1954,7,2,1954,12:00,"Near Salvador, Brazil",Military - Brazilian Air Force,,,Lockheed C-28,C-28-2901,,20,20,0,NearSalvador,Brazil,The aircraft crashed while attempting to land at Salvador. Engine failure at a critical stage in landing.
07/23/1954,7,23,1954,09:45,"Off Hainan Island, China",Cathay PacifiAirways,,Singapore - Hong Kong - Bangkok,Douglas DC-4,VR-HEU,10310,18,10,0,OffHainanIsland,China,Ditched into the sea after being shot down by Chinese Lachovlin  La-7 military fighter aircraft. The survivors were rescued by the U.S. Air Force.
08-08-1954,8,8,1954,15:40,"Near McGrath, Alaska",Alaska Airlines,,McGrath - Colorado Creek,Douglas DC-2,N91008,13977/25422,2,2,0,NearMcGrath,Alaska,"Flew into a mountain, 35 miles northeast of McGrath."
09-12-1954,9,12,1954,20:08,"Off Rio de Janeiro, Brazil",Cruzeiro,,,Douglas DC-3,PP-CDJ,19278,30,6,0,OffRiodeJaneiro,Brazil,The plane was attemping to return to the Rio de Janeiro after severe vibrations in the No. 1 engine made the crew feather the prop.  While on final the aircraft came in too high and a go-around was attempted during which the plane crashed into the sea.   Lack of reference to instruments after opening the throttle to go-around in restricted visibility.  Power may have been inadvertently reduced on the good engine.
09/15/1954,9,15,1954,,"Cairo, Egypt",Misrair,,Test,Vickers 634 Viking,SU-AFO,212,4,3,0,Cairo,Egypt,Stalled and crashed during a test flight.
12/29/1954,12,29,1954,,"Near Moscow, Russia",Aeroflot,,,,,,45,45,0,NearMoscow,Russia,
12/31/1954,12,31,1954,,"Irkutsk, Russia",Aeroflot,,Peking -  Irkutsk - Cyprus,Ilyushin 14,,,17,17,0,Irkutsk,Russia,Crashed during takeoff.
02-02-1955,2,2,1955,03:50,"Nagpur, India",Indian Airlines,,Nagpur - Delhi,Douglas DC-3,VT-CVB,13037,10,10,0,Nagpur,India,"Crashed into a field shortly after takeoff. The aircraft crashed as a result of slipping into the ground in the course of a poorly executed steep turn to port, carried out at night at a low altitude."
03-06-1955,3,6,1955,,"Vitoria da Conquista, Brazil",REAL,,,Douglas DC-3,PP-YPZ,11699,21,5,0,VitoriadaConquista,Brazil,"After an aborted landing attempt due to a unlocked landing gear, the plane made a left turn, hit a pole, crashed and burned. Pilot error. Improper use of the throttles by the crew following the go-around. Failure of the landing gear locking mechanism."
08-06-1955,8,6,1955,,"Near Voronezh, Russia",Aeroflot,,Starllingrad - Moscow.,,,,25,25,0,NearVoronezh,Russia,Crashed en route.
08/26/1955,8,26,1955,,"Caparao Mountain, Brazil",Cruzeiro,,Rio de Janeiro - Caravelas,Douglas DC-3,PP-CBY,11692,13,13,0,CaparaoMountain,Brazil,"Hit Caparao Mountain while en route, 1 hour after taking off.  Failure to follow flight plan."
12-01-1955,12,1,1955,02:00,"Belem, Brazil",Cruzeiro,,,Douglas DC-3,PP-CCC,15845/32593,6,6,0,Belem,Brazil,"Shortly after taking off, the No.1 engine lost power. The crew shut off the hydraulipump which caused the landing gear to stop retracting halfway. The resulting drag, caused the aircraft to lose altitude. The left wing struck a tree and the plane crashed and burned. Failure of the front bearing of the propeller shaft leading to disconnection of the reduction gear and left propeller and causing a sudden failure of the left engine."
12/19/1955,12,19,1955,,"Sao Paulo, Brazil",Cruzeiro Do Sud,,Sao Paulo - Belem,Douglas DC-3,,,26,26,0,SaoPaulo,Brazil,Crashed on takeoff.
02/20/1956,2,20,1956,02:40,"Near Cairo, Egypt",Transport Aerien Intercontinentaux (France),,Saigon - Paris,Douglas DC-6B,F-BGOD,43835/380,64,52,0,NearCairo,Egypt,The flight crashed while on approach 18 miles SE of Cairo.  Pilot's inexperience in ILS approaches.  Improper approach.  Crew error. Crew fatigue.
03/21/1956,3,21,1956,,"Tezpur, India",Indian Airlines,,,Douglas DC-3,VT-CGN,12989,21,2,0,Tezpur,India,An improper flare on landing caused the aircraft to bounce causing the right wing to strike the runway after which the plane veered off the runway.
03/31/1956,3,31,1956,,"Indapur, India",National Air Operators,,Asansol - Bagdogra,Douglas C-47A,VT-DCM,10230,3,3,0,Indapur,India,The cargo plane crashed en route. A downdraft which forced down the fully loaded aircraft to the ground when it was flying under exceptionally severe weather conditions below 1000 ft. and possibly at a few hundred feet above the terrain.
04-09-1956,4,9,1956,09:51,"Skilak Lake, Alaska",Cordova Airlines,6,Anchorage - Seward,Aero Commander  520,B5386N,520-7,6,6,0,SkilakLake,Alaska,Crashed en route from Anchorage to Seward. The pilot's action in continuing flight during instrument weather conditions on a planned VFR flight through a mountain pass and striking a mountainside while attempting to climb out.
04/18/1956,4,18,1956,,"Parintins, Brazil",Panair do Brasil,,Belem - Parintins,Consolidated PBY-5A Catalina,PP-PDB,,12,3,0,Parintins,Brazil,The plane struck an object in the water while landing and broke up.
06/20/1956,6,20,1956,01:30,"Asbury Park, New Jersey",Linea Aeropostal Venezolana,,New York City - Caracas,Lockheed 1049E-55 Super Constellation,YV-C-AMS,4561,74,74,0,AsburyPark,NewJersey,"About 1.5 hours after taking off from New York, the pilot radioed the No. 2 propeller was overspeeding and could not be feathered. Upon trying to return to New York the plane caught fire and crashed into the AtlantiOcean. Vibration resulting from the uncontrollable propeller caused one of the inside wing attachments to loosen or break somewhere between the fuel tank and the dump chute causing an uncontrollable fire."
07/13/1956,7,13,1956,15:35,"Near Brows Mills, New Jersey",Military - U.S. Air Force,,McGuire AFB - Harmon AFB,Douglas C-118A,53-3301A,,66,46,0,NearBrowsMills,NewJersey,Crashed into a wooded area 2 minutes after taking off from McGuire Air Force Base. There was thunderstorm activity at the time. Microburst windshear.
08/29/1956,8,29,1956,20:45,"Cold Bay, Alaska",Canadian PacifiAir Lines,307,Vancouver - Hong Kong,Douglas DC-6B,CF-CUP,43843/324,22,15,0,ColdBay,Alaska,The aircraft crashed after a missed approach. The crew executing full retraction of flaps without increasing power or changing attitude resulting in loss of lift after the missed approach.
10-02-1956,10,2,1956,18:25,"Near Nome, Alaska",Alaska Airlines,701,Unalakleet and Nome,Stinson AT-19,N 79069,FK-975,5,5,0,NearNome,Alaska,Crashed while en route. The action of the pilot in flying into conditions of darkness and adverse weather in which he could not maintain adequate control of the aircraft.
10/19/1956,10,19,1956,,"Agartala, India",Indian Airlines,,,Douglas DC-3,VT-DGK,,3,3,0,Agartala,India,The cargo plane crashed after an attempted go-around.
10/18/1957,10,18,1957,,"Porto Alegre, Brazil",Varig,,,Douglas C-47A,PP-VCS,19757,2,2,0,PortoAlegre,Brazil,Incorrect use of flying controls during takeoff roll.  Possible failure of left engine. Turbulent conditions close to ground.
12/22/1956,12,22,1956,21:30,"Grub, Germany",JAT Yugoslav Airlines,,Wien - Munchen,Convair CV-340-58,YU-ADA,162,30,3,0,Grub,Germany,"The co-pilot acting as pilot-in-command and under the instruction of the captain began a descent to land until the aircraft hit the ground, left wing first. Both wings detached and the fuselage slid 1,200 feet."
04-07-1957,4,7,1957,,"Bage, Brazil",Varig,,,Curtiss C-46A-45-CU,PP-VCF,30283,40,40,0,Bage,Brazil,"Shortly after  takeoff, a fire developed in the left main landing gear well. The pilot thought the fire had started in the engine, feathered the No.1 engine and returned for an emergency landing. When he couldn't get the gear down, he performed a go-around after which the left wing separated from the plane. The plane crashed and burned. Fracture of the fuel line in the landing gear housing due to wear against the ribs."
04-10-1957,4,10,1957,15:20,"Anchieta Island, Brazil",REAL,1800,Rio de Janerio - Sao Paulo,Douglas DC-3,PP-ANX,13048,30,26,0,AnchietaIsland,Brazil,"While en route, fire broke out in the starboard engine. As he lost altitude and because of reduced visibility, the pilot did not see the peak of a mountain. When he tried to pull up the plane stalled and crashed. Engine failure."
05-05-1957,5,5,1957,,"Santoshpur, India",Indian Airlines,,,Douglas C-47A,VT-AUV,20318,3,1,0,Santoshpur,India,"The accident is attributed to the insufficient altitude at which the aircraft was flown during an attempt to fly through a thunderstorm. Downdrafts and divergent winds encountered, forced the aircraft to the ground."
05/13/1957,5,13,1957,,"New Delhi, India",Indian Airlines,,,Douglas DC-3,VT-CFB,13626,2,2,3,NewDelhi,India,"During a training exercise the aircraft approached a stall entered a spin, partially recovered but crashed."
06/14/1957,6,14,1957,23:10,"Near Moscow, Russia",LOT Polish Airlines,232,Warsaw - Moscow,Ilyushin P-14,SP-LNF,6341407,13,9,0,NearMoscow,Russia,The aircraft descended below safe altitude and struck the ground in rain and poor visibility. The crew's application of an approach procedure other than that prescribed by the airport authority.
08/20/1957,8,20,1957,,"Assam, India",Indamer,,,Douglas DC-3,VT-ARH,4851,8,8,0,Assam,India,While making a sharp turn the cargo plane stalled and crashed.
01/16/1958,1,16,1958,,"Belem, Brazil",Cruzeiro,,,Fairchild C-82A,PP-CEF,10200,3,3,0,Belem,Brazil,The cargo plane lost the No. 1 engine on takeoff and crashed.
02-01-1958,2,1,1958,,"Rio de Janeiro, Brazil",Loide Aéreo Nacional,,Rio de Janerio - Fortaleza,Douglas DC-4,PP-LEM,18336,67,5,0,RiodeJaneiro,Brazil,The plane abandoned the takeoff after an engine failed. The plane was unable to stop and slid off the runway striking rocks and catching fire. Failure of No. 4 engine. Malfunctioning of the starboard brakes.
05/15/1958,5,15,1958,,"New Delhi, India",Pakistan International Airlines,205,Dehli - Karachi,Convair CV-240-7,AP-AEH,52,38,21,2,NewDelhi,India,Crashed shortly after taking off. Improper observation and interpretation of instruments. The captain did not properly observe and interpret his flight instruments and thus inadvertently permitted the aircraft to descend to the ground immediately after a night takeoff during which no visual reference was possible.
02-06-1958,2,6,1958,14:17,"Munich, Germany",British European Airways,609,Munich - Manchester,Airspeed Ambassador A5-57,G-ALZU,5217,44,23,0,Munich,Germany,"The aircraft crashed during takeoff in a snowstorm. The aircraft never lifted from the runway, crashed through the barrier fence and into a house. A German inquiry into the accident concluded that an accumulation of ice on the wings was the cause of the accident. An English inquiry disagreed, stating drag, due to slush on the runway was the cause of the accident. Eight members of the Manchester United football (soccer) team killed.  The aircraft was named 'The Elizabethan.'"
03-07-1958,3,7,1958,,"Menzalah Lake, Egypt",Misrair,,Athens - Cairo,Vickers 628 Viking 1B,SU-AGN,196,26,8,0,MenzalahLake,Egypt,"While approaching Cairo, the aircraft was diverted to Port Said where it ditched into Menzalah Lake."
05/25/1958,5,25,1958,,"Gurgaon, India",Dan-Air Services,,,Avro 685 York C-1,G-AMUV,,5,4,0,Gurgaon,India,A fire in fligth caused by a failure of the No. 1 engine. During the ensuing forced landing on rough terrain the aircraft broke up and was consumed by fire.
05/31/1958,5,31,1958,,"Rio de Janeiro, Brazil",Paraense Transportes Aéreos,,,Curtiss C-46D,PP-BTB,33304,4,4,0,RiodeJaneiro,Brazil,The cargo plane crashed.
06/16/1958,6,16,1958,,"Curitiba, Brazil",Cruzeiro,,Florianopolis - Curitiba,Convair CV-440-59,PP-CEP,493,27,19,0,Curitiba,Brazil,Crashed during approach after encountering a downdraft. Missed the runway and collided with a tree. Windshear.
06/25/1958,6,25,1958,,"Mohanbari, India",Indian Airlines,,,Douglas C-47A,VT-COJ,10051,7,7,0,Mohanbari,India,While manoeuvring at a low height in mountainous terrain during a supply dropping mission the port wing of the cargo plane grazed the side of a hill thus causing the aircraft to slew and crash. A contributory factor might have been the mismanagement of the fuel system which caused temporary loss of engine power and height.
08-12-1958,8,12,1958,,"Maraso Bay, Brazil",LANSA,,,Douglas DC-4,PP-LEQ,10544,10,10,0,MarasoBay,Brazil,Crashed on approach. Cause unknown.
08/15/1958,8,15,1958,,"Near Chita, Russia",Aeroflot,,,Tupolev TU-104-A,CCCP-L5442,,64,64,0,NearChita,Russia,The aircraft stalled after flying over a thunderstorm. The aircraft climbed in excess of its operational ceiling considering its weight.
09-02-1958,9,2,1958,,"Sasnashen, Russia",Military - U.S. Air Force,,,Lockheed C-130A-II Hercules,56-0528,3136,17,17,0,Sasnashen,Russia,Shot down by Soviet Mig fighters.
09-05-1958,9,5,1958,,"Campina Grande, Brazil",Loide Aereo Nacional,,,Curtiss C-46A-CU,PP-LDX,30288,18,13,0,CampinaGrande,Brazil,The aircraft crashed after a second landing attempt. Improper approach procedure. Incorrect forcast provided to the crew.
10/17/1958,10,17,1958,,"Near Kanash, Russia",Aeroflot,,Peking - Moscow,Tupolev TU-104A,CCCP-42362,,80,80,0,NearKanash,Russia,"The plane was on a flight from Peking to Moscow at FL330 when it went out of control. The aircraft experienced extreme turbulence during a climb, stalled and plunged to earth and burned. The captain described everything as it happened as he attempted to recover from the uncontrolled descent, ending the radio transmission with a farewell."
12/30/1958,12,30,1958,,"Rio de Janeiro, Brazil",VASP,,Rio de Janeiro - Sao Paulo,Saab Scandia,PP-SQE,103,37,21,0,RiodeJaneiro,Brazil,Crashed on takeoff after the No.1 engine failed. Pilot error. Pilot's incorrect handling of controls in flight.
01-11-1959,1,11,1959,,"Rio de Janeiro, Brazil",Lufthansa,,Hamburg - Rio de Janeiro,Lockheed 1049G Super Constellation,D-ALAK,4602,39,36,0,RiodeJaneiro,Brazil,"The plane descended over Guanabara Bay in rain, struck the water with the nosewheel and crashed on Flecheiras Beach, short of the runway. Descent below minima for reasons unknown. Crew fatigue possible."
03-12-1959,3,12,1959,14:10,"Tobu, India",Indian Airlines,,,Douglas C-47A,VT-CYH,12493,7,5,0,Tobu,India,The cargo plane crashed during an attempt by the pilot to clear high terrain under poor visibility conditions. He had previously descended to a low altitude in order to determine his position.
03/29/1959,3,29,1959,10:45,"Near Silchar, India",Indian Airlines,,Dum Dum - Agartala-Singerbhil - Kumbhirgram,Douglas DC-3,VT-CGI,20176,24,24,0,NearSilchar,India,Sustained structural failure while flying through a thunderstorm.
08-03-1959,8,3,1959,10:30,"Sagone, India",Kalinga Airlines,,Mohanbari - Along,Douglas DC-3,VT-DGP,9549,6,6,0,Sagone,India,Crashed while en route. Navigational error. The pilot entered a wrong valley and stalled the fully loaded aircraft while attempting to turn back.
09/23/1959,9,23,1959,18:40,"Sao Paulo, Brazil",VASP,,Sao Paulo - Rio de Janeiro,Saab Scandia 90A-1,PP-SQV,106,20,20,0,SaoPaulo,Brazil,Crashed a few minutes after taking off from Sao Paulo Airport. Cause undetermined.
09/24/1959,9,24,1959,17:20,"Great Sitkin Island, Alaska",Reeve Aleutian Airlines,3,Shemya - Cold Bay - Adak - Anchorage,Douglas C-54B,N63396,10486,16,16,0,GreatSitkinIsland,Alaska,Crashed into a mountain while on approach to Adak. Improper approach. Crew error. Pilot did not fly in accordance with visual flight rules over hazardous terrain.
12/17/1959,12,17,1959,02:20,"Ketchikan, Alaska",California Aircraft,,Juneau - Annette Island,Consolidated PBY-5A Catalina,N64T,,3,3,0,Ketchikan,Alaska,The cargo plane cashed en route after reporting engine trouble.
12/22/1959,12,22,1959,,"Rid de Janeiro, Brazil",VASP,,Rio de Janeiro - Sao Paulo,Vickers Viscount 827 / Fokker AT-6,PP-SRG,401,33,33,10,RiddeJaneiro,Brazil,"Midair collision with a Brazilian Air Force AT-6 Harvard, shortly after takeoff. One killed in the fighter. Failure of both pilots to see and avoid each other."
01-03-1960,1,3,1960,10:40,"Taksing, India",Indian Airlines,,,Douglas C-47A,VT-CGG,12821,9,9,0,Taksing,India,"The cargo plane crashed while dropping supplies and making a narrow turn in a valley. The accident was attributed to an error in navigation which caused the pilot to enter the wrong valley. During an attempt to turn back in a restricted area, the aircraft stalled and crashed."
02/26/1960,2,26,1960,13:07,"Rio de Janeiro, Brazil",REAL / Military - U.S. Navy,,Campos - Rio de Janeiro,Douglas DC-3 / USN R-6D-1,PP-AXD/131582,13326 / 43685-307,61,61,0,RiodeJaneiro,Brazil,"Midair collision between a DC-3 and a US Navy R-6D. Improper piloting procedures when flying on authorized instrument flight (US Navy pilot). The pilot of the USN plane disobeyed instructions transmitted by Rio Approach Control. The U.S. Navy disagreed and placed no blame on neither pilot. Twenty six killed on the DC-3, 35 on the R-6D-1. Members of the United States Navy Band among those killed."
03/17/1960,3,17,1960,15:25,"Near Cannelton, 10 mile SE of Tell City, Indiana",Northwest Orient Airlines,710,Chicago - Miami,Lockheed 188C Electra,N121US,1057,63,63,0,NearCannelton,Indiana,An in-flight separation of the wing. A design flaw caused an oscillation known as whirl mode to transfer propeller wobble to the outboard nacelles which induced flutter in the wing which led to the separation of the wing. Reduced stiffness of the structure and the entry of the aircraft into an area of severe clear air turbulence were contributing factors. One of two crashes with the same cause.  See 9/29/59.
04-12-1960,4,12,1960,14:20,"Pelotas, Brazil",Cruzeiro,,,Douglas DC-3,PP-CDS,4823,22,10,0,Pelotas,Brazil,"While taking off, the plane drifted to the right, overcorrected to the left and struck two other aircraft. Pilot error.  Incorrect use of the brakes and controls while on the ground."
06/14/1960,6,14,1960,04:47,"Mt. Gilbert, Alaska",PacifiNorthern Airlines,201,Cordova - Anchorage,Lockheed 749A-79-32 Constellation,N1554V,2555,14,14,0,Mt.Gilbert,Alaska,"The aircraft failed to maintain its intended flight path and  crashed into the face of Mt. Gilbert at 9,646 ft. after taking off from Cordova. The crew's failure to use all available  navigational aids in establishing the aircraft's position on Amber I Airway thereby allowing the aircraft  to proceed off course over dangerous terrain. A contributing factor to the  accident was the failure of air defense radar, which had been tracking the aircraft, to notify either  ARTCC or the crew that the aircraft was proceeding on a dangerous course."
06/24/1960,6,24,1960,18:30,"Rio de Janeiro, Brazil",REAL,,Belo Horizonte - Rio de Janeiro,Convair CV-340-62,PP-YRB,191,54,54,0,RiodeJaneiro,Brazil,Crashed into Guanabara Bay during approach. Cause undetermined.
07-06-1960,7,6,1960,14:30,"Off Barnegat City, New Jersey",Military - U.S. Navy,,,Goodyear ZPG-3W (airship),144242,,21,18,0,OffBarnegatCity,NewJersey,"The airship crashed nose-first into the AtlantiOcean, 10 miles off the coast of New Jersey. The  failure of a seam due to some unknown factor that degraded the adhesive."
09/26/1960,9,26,1960,23:40,"Moscow, Russia",Austrian Airlines,901,Warsaw - Moscow,Vickers Viscount 837,OE-LAF,437,37,31,0,Moscow,Russia,"Crashed on approach to Moscow, 11 nm short of the runway. Malfunctioning or misread altimeter."
10/21/1960,10,21,1960,,"Ust-Orda, Russia",Aeroflot,,,Tupolev Tu-104A,CCCP-42452,96601701,3,3,0,Ust-Orda,Russia,Crashed after a premature descent.
12-07-1960,12,7,1960,,"Cachimbo, Brazil",REAL,,Cuiaba - Manaus,Curtiss C-46A-60-CK,PP-AKF,295,15,15,0,Cachimbo,Brazil,"The No.2 engine failed while en route. The aircraft lost altitude, crashed in a jungle and burned. Starboard engine failed to feather for reasons unknown."
03/25/1961,3,25,1961,,"Near Natal, Brazil",Military - Brazilian Air Force,,Rio de Janerio - Belem,Douglas C-47DL,C-47-2055,4473,28,23,0,NearNatal,Brazil,Crashed while attempting to land.
06-12-1961,6,12,1961,04:11,"Cairo, Egypt",KLM Royal Dutch Airlines,823,Rome - Cairo,Lockheed L-188C Electra,PH-LLM,2019,36,20,0,Cairo,Egypt,"Crashed into power lines during the approach, 4 km short of the runway. Crew's neglect to cockpit duties."
07/21/1961,7,21,1961,02:11,"Shemya, Alaska",Alaska Airlines,,Seattle - Shemya AFB,Douglas DC-6A,N6118C,45243/919,6,6,0,Shemya,Alaska,"Undershot the runway by 200 feet, crashed and burned. Absence of approach and runway lights. Lack of guidance from air trafficontroller during last stages of flight."
11-01-1961,11,1,1961,02:15,"Near Recife, Brazil",Panair do Brasil,,Lisbon - Ilha do Sal - Recife,Douglas DC-7C,PP-PDO,44872,45,45,0,NearRecife,Brazil,"The flight crashed into a hill during approach. Pilot error. Improper evaluation of distance, flying a non-standard traffipattern by night and failing to observe altitude minima during the final approach."
11/23/1961,11,23,1961,05:40,"Campinas, Brazil",Aerolineas Argentinas,,Sao Paulo - Trinidad,de Havilland Comet 4,LV-AHR,6430,52,52,0,Campinas,Brazil,"After reaching an altitude of about 100 m, the aircraft lost altitude, collided with a eucalyptus forest and was destroyed. Pilot error. Failure to operate under IFR in adverse weather conditions at night. Failure to follow the climb procedure."
12-04-1961,12,4,1961,,"Mainz, Germany",Lufthansa,,Training,Boeing 720-030B,D-ABOK,18058/202,3,3,0,Mainz,Germany,Crashed into an open field in a steep dive after attempting an emergency landing.
12/24/1961,12,24,1961,10:50,"Old Harbor, Kodiak Island, Alaska",Kodiak Airways,,Old Harbor - Kaguyak,Grumman G-21A Goose,N1503V,1020,5,1,0,OldHarbor,Alaska,
03/15/1962,3,15,1962,01:14,"Adak, Alaska",Flying Tiger Line,7816,"Cold Bay, AK - Adak, AK",Lockheed 1049H Super Constellation,N6911C,4804,7,1,0,Adak,Alaska,"Crashed into a rock embankment, 328 ft. short of runway threshold while attempting to land on Runway 23 and after being warned by ATC that the plane was below the glidepath. The main gear and right wing separated from the plane and a fire ensued. The pilot's misjudgment of distance and altitude during the final approach."
05-09-1962,5,9,1962,19:30,"Vitoria, Brazil",Cruzeiro,,Rio de Janerio - Vitoria,Convair CV-240-0,PP-CEZ,25,25,23,0,Vitoria,Brazil,Crashed into trees short of the runway while on approach. Approach not carried out in accordance with company procedures and misjudgement of his distance from the runway.
05/15/1962,5,15,1962,,"Near Cairo, Egypt",United Arab Airlines,,"Cairo, Egypt  - Beirut, Lebanon",Douglas DC-3,SU-AJM,,3,3,0,NearCairo,Egypt,The cargo plane crashed shortly after taking off.
06/28/1962,6,28,1962,,"Near Adler, Russia",Aeroflot,,Lvov - Sochi,Antonov AN-10A,CCCP11186,,81,81,0,NearAdler,Russia,The plane crashed into a mountain during an approach to Adler Airport. The accident was caused by a change in approach patterns to the airport on the part of controllers without approval from aviation authorities.  Lack of training by the carrier for flights into mountainous regions.
07-07-1962,7,7,1962,23:59,"Near Junnar, Maharashtra, India",Alitalia,771,Bangkok - Bombay,McDonnell Douglas DC-8-43,I-DIWD,45631/160,94,94,0,Maharashtra,India,"The aircraft crashed into a hill near Bombay, India, at an elevation of 3,600 ft. 50 miles ENE of the airport. Navigational error.  Premature descent. Crew did not use navigational facilities available."
07/16/1962,7,16,1962,,"Loheshyphn, India",Kalinga Airlines,,,Douglas C-47,VT-DFZ,4647,9,9,0,Loheshyphn,India,Stalled and crashed.
07/28/1962,7,28,1962,,"Sochi, Russia",Aeroflot,,,Antonov An-10A,CCCP-11186,402003,81,81,0,Sochi,Russia,"Struck a mountain while attempting to land. Changes in the approach patterns for Sochi Airport, not approved by the State aviation authorities and without informing the flight crews about it.  Inadequacies of flight control and crew training in the Sochi area and training for flights in mountainous regions in general."
